@relation FuncionCuadratica

@attribute fx numeric
@attribute fy numeric
@attribute distance numeric

@data
8.074564,46.476974,19.131222
8.82884,48.243645,21.517822
10.76685,40.369484,21.863583
9.862204,40.675549,20.124947
8.93959,41.522972,30.994711
7.205225,53.403385,13.340108
10.51584,55.695419,29.733896
8.015702,52.612038,32.079136
7.774927,42.361095,16.82494
9.987288,50.222107,25.315559
11.521602,47.160458,27.220119
9.401495,61.045563,29.082724
9.811225,57.152164,27.506861
11.281758,54.568008,31.006964
10.803133,58.056286,31.645195
7.00172,50.692577,18.100906
10.63994,37.206043,19.654755
10.349127,36.92466,19.067032
8.55462,60.455929,26.26486
7.484081,52.216621,19.981518
10.29469,55.902855,29.171341
9.593753,37.076691,18.02211
8.924896,61.568584,27.883823
7.507008,61.576519,23.750713
9.194443,35.572372,16.360085
11.381095,51.013535,29.203224
9.062543,61.378155,28.214201
8.991784,45.557869,19.507757
9.913214,43.216743,21.525644
8.405234,64.382179,27.500181
11.898271,35.604942,20.793257
