@relation FuncionCuadratica

@attribute fx numeric
@attribute fy numeric
@attribute distance numeric

@data
15,20,5.539658
15,21,5.072088
15,22,5.200511
15,23,3.44901
15,24,2.587442
15,25,2.35618
15,26,1.750091
15,27,1.010796
15,28,4.404104
15,29,2.628712
15,30,5.282419
15,31,4.672207
15,32,5.836476
15,33,5.969449
15,34,5.626375
15,35,6.365912
15,36,8.277434
15,37,9.453269
15,38,9.921604
15,39,10.635595
15,40,10.753101
15,41,11.318593
15,42,13.982682
15,43,13.334732
15,44,14.264755
15,45,17.212709
15,46,15.734447
15,47,16.117395
15,48,18.282902
15,49,19.253344
15,50,18.8776
16,20,5.511349
16,21,5.122074
16,22,3.170907
16,23,2.513577
16,24,2.794295
16,25,2.086585
16,26,2.238751
16,27,2.498242
16,28,8.454877
16,29,3.409886
16,30,4.360669
16,31,5.553432
16,32,5.302738
16,33,7.047893
16,34,8.729258
16,35,9.011065
16,36,8.819467
16,37,28.957458
16,38,10.750496
16,39,11.377774
16,40,13.527621
16,41,14.530159
16,42,14.102101
16,43,15.443831
16,44,15.865392
16,45,16.836376
16,46,17.630539
16,47,18.793644
16,48,19.584101
16,49,21.447004
16,50,21.168259
17,20,5.311289
17,21,3.834477
17,22,3.108358
17,23,2.404579
17,24,1.37917
17,25,2.287729
17,26,2.513992
17,27,1.347779
17,28,4.173745
17,29,3.904984
17,30,4.925851
17,31,6.137188
17,32,8.022157
17,33,9.545046
17,34,8.838727
17,35,10.058509
17,36,11.298176
17,37,12.558388
17,38,14.080276
17,39,14.43414
17,40,14.450513
17,41,15.117644
17,42,16.516474
17,43,17.555555
17,44,18.014185
17,45,19.437239
17,46,20.078171
17,47,20.92136
17,48,21.58149
17,49,22.610598
17,50,24.266022
18,20,3.907989
18,21,2.627393
18,22,2.537115
18,23,1.342142
18,24,0.638647
18,25,2.391124
18,26,5.348171
18,27,3.894239
18,28,4.142927
18,29,5.414427
18,30,7.127378
18,31,7.996482
18,32,9.086967
18,33,9.178267
18,34,10.258931
18,35,11.341437
18,36,12.621553
18,37,13.712719
18,38,15.699587
18,39,16.120405
18,40,17.226086
18,41,18.335854
18,42,18.779669
18,43,20.568829
18,44,19.977179
18,45,21.252146
18,46,23.455078
18,47,23.0439
18,48,23.941032
18,49,25.435251
18,50,27.73678
19,20,4.490464
19,21,2.619195
19,22,1.215042
19,23,2.36404
19,24,1.699648
19,25,1.272936
19,26,3.533196
19,27,4.262022
19,28,5.599688
19,29,8.087336
19,30,7.883134
19,31,9.237013
19,32,9.769486
19,33,11.534839
19,34,13.142621
19,35,13.621725
19,36,13.94805
19,37,16.8866
19,38,16.65106
19,39,18.738209
19,40,19.19256
19,41,19.077259
19,42,21.065308
19,43,22.230755
19,44,22.51549
19,45,23.668512
19,46,24.825476
19,47,26.446875
19,48,26.106527
19,49,27.24855
19,50,28.599777
20,20,2.992225
20,21,1.283689
20,22,0.859295
20,23,3.996662
20,24,0.779772
20,25,4.681759
20,26,5.855449
20,27,5.667355
20,28,6.867194
20,29,8.282595
20,30,9.93555
20,31,11.620347
20,32,11.466117
20,33,14.563303
20,34,13.458199
20,35,14.869164
20,36,16.986483
20,37,17.969139
20,38,18.277456
20,39,19.487928
20,40,21.647911
20,41,21.692787
20,42,23.373142
20,43,23.25798
20,44,24.256948
20,45,26.575914
20,46,28.055544
20,47,28.794588
20,48,28.456558
20,49,29.658419
20,50,31.299057
21,20,2.608482
21,21,0.999566
21,22,2.493047
21,23,1.218987
21,24,2.985212
21,25,4.35945
21,26,6.066003
21,27,8.284772
21,28,8.135212
21,29,9.618663
21,30,11.345375
21,31,11.487803
21,32,14.127399
21,33,14.452608
21,34,15.05775
21,35,17.71142
21,36,18.500523
21,37,20.025339
21,38,20.575907
21,39,22.34375
21,40,22.428247
21,41,23.472681
21,42,24.973616
21,43,26.739351
21,44,27.059219
21,45,34.291157
21,46,29.856094
21,47,31.924814
21,48,32.435993
21,49,33.223927
21,50,35.034168
22,20,1.20198
22,21,1.311206
22,22,3.747058
22,23,1.374494
22,24,4.131868
22,25,7.429089
22,26,6.994547
22,27,9.791411
22,28,9.178914
22,29,11.191619
22,30,12.27914
22,31,14.333554
22,32,14.69439
22,33,17.519472
22,34,18.337175
22,35,18.919104
22,36,20.253241
22,37,21.843733
22,38,21.497532
22,39,23.521887
22,40,24.376534
22,41,26.704035
22,42,27.791285
22,43,27.437553
22,44,28.536682
22,45,29.858982
22,46,31.898901
22,47,32.056686
22,48,35.660431
22,49,35.42453
22,50,36.034821
23,20,1.427372
23,21,4.34584
23,22,1.454119
23,23,4.455523
23,24,5.645579
23,25,6.300041
23,26,7.679073
23,27,10.272368
23,28,10.438464
23,29,13.038645
23,30,15.759458
23,31,15.558748
23,32,16.695087
23,33,17.83383
23,34,19.222832
23,35,21.129349
23,36,21.753538
23,37,25.333565
23,38,24.286703
23,39,26.201853
23,40,26.822145
23,41,28.478437
23,42,29.881695
23,43,30.501875
23,44,32.698643
23,45,33.836803
23,46,33.932041
23,47,35.076633
23,48,36.988228
23,49,38.129967
23,50,39.27219
24,20,0.780931
24,21,2.715605
24,22,1.158243
24,23,4.261412
24,24,7.471722
24,25,9.439288
24,26,10.604636
24,27,10.749481
24,28,12.190217
24,29,14.66623
24,30,15.586439
24,31,17.29673
24,32,17.462502
24,33,21.027523
24,34,19.857359
24,35,22.050303
24,36,25.137257
24,37,25.485382
24,38,25.631176
24,39,28.408564
24,40,28.528681
24,41,29.220695
24,42,32.81736
24,43,33.163479
24,44,32.816586
24,45,35.015415
24,46,36.20985
24,47,37.929798
24,48,39.392059
24,49,39.544266
24,50,41.24855
25,20,2.815316
25,21,1.625526
25,22,9.197254
25,23,6.780365
25,24,6.960252
25,25,10.032393
25,26,10.728474
25,27,12.228324
25,28,13.72956
25,29,16.038408
25,30,17.272196
25,31,18.780264
25,32,19.747482
25,33,20.208879
25,34,21.457197
